ID_Persona,Region,Edad,Genero,Deporte,Frecuencia_Semanal,Duracion_Promedio_min,Nivel,Gasto_Mensual,Satisfaccion
1,Norte,53,Otro,Running,3,77,Intermedio,9005,5
2,Centro,16,Otro,Yoga,5,42,Avanzado,21118,5
3,Centro,40,Otro,Ciclismo,6,136,Avanzado,46228,5
4,Buenos Aires,39,Otro,Running,5,89,Intermedio,10674,5
5,CABA,35,M,Running,6,43,Avanzado,14731,5
6,CABA,42,Otro,Gimnasio,2,89,Intermedio,23540,4
7,Centro,59,Otro,Natacion,3,42,Principiante,11990,5
8,Buenos Aires,30,Otro,Yoga,3,74,Principiante,10383,5
9,Sur,51,Otro,Ciclismo,6,62,Avanzado,35018,5
10,CABA,53,F,Ciclismo,1,138,Principiante,23107,5
11,Sur,41,M,Gimnasio,7,61,Avanzado,27676,5
12,CABA,14,M,Futbol,4,74,Avanzado,18512,5
13,Norte,46,F,Gimnasio,7,86,Avanzado,34211,5
14,Norte,64,F,Natacion,5,50,Intermedio,17940,5
15,CABA,12,M,Ciclismo,5,61,Intermedio,25580,5
16,Buenos Aires,35,F,Gimnasio,4,63,Intermedio,22708,5
17,Sur,45,M,Yoga,4,31,Intermedio,19043,5
18,CABA,14,M,Yoga,2,51,Intermedio,15379,5
19,CABA,37,M,Futbol,1,82,Principiante,12474,4
20,Sur,20,F,Gimnasio,2,70,Intermedio,24073,5
21,CABA,58,Otro,Ciclismo,4,94,Avanzado,38327,5
22,Centro,25,M,Natacion,5,55,Intermedio,16492,5
23,Sur,14,M,Yoga,1,47,Principiante,12095,5
24,Buenos Aires,19,Otro,Natacion,3,30,Principiante,13183,5
25,Buenos Aires,53,F,Running,4,42,Intermedio,9875,5
26,CABA,64,Otro,Gimnasio,3,67,Principiante,18272,5
27,CABA,24,Otro,Natacion,2,50,Intermedio,23088,5
28,Buenos Aires,31,M,Gimnasio,2,72,Intermedio,26155,5
29,Norte,32,M,Ciclismo,4,135,Intermedio,25790,5
30,Centro,67,Otro,Gimnasio,3,74,Principiante,14236,5
31,Buenos Aires,38,M,Running,3,58,Principiante,6704,5
32,Norte,19,F,Gimnasio,3,74,Principiante,18346,5
33,CABA,41,Otro,Yoga,5,74,Avanzado,22803,5
34,Centro,66,F,Natacion,3,51,Principiante,13336,5
35,Buenos Aires,68,Otro,Futbol,3,91,Intermedio,15656,5
36,Sur,40,F,Natacion,5,50,Intermedio,19562,5
37,Buenos Aires,47,M,Gimnasio,4,81,Intermedio,25616,5
38,CABA,29,Otro,Running,5,71,Avanzado,15471,5
39,Centro,20,Otro,Yoga,3,70,Intermedio,20711,5
40,Sur,50,Otro,Gimnasio,1,66,Principiante,20959,5
41,Norte,70,Otro,Natacion,7,52,Avanzado,30478,5
42,CABA,24,Otro,Running,3,33,Intermedio,8378,5
43,Norte,49,Otro,Yoga,2,44,Principiante,12450,5
44,Norte,60,Otro,Yoga,6,41,Avanzado,20248,5
45,Centro,44,Otro,Natacion,2,59,Principiante,12392,5
46,Norte,42,Otro,Gimnasio,7,52,Avanzado,37194,5
47,CABA,27,F,Natacion,2,47,Principiante,12198,5
48,Centro,39,M,Natacion,3,60,Intermedio,19713,5
49,Norte,31,F,Yoga,7,66,Avanzado,23814,5
50,Buenos Aires,39,Otro,Natacion,4,46,Avanzado,29011,5
51,CABA,44,F,Natacion,4,34,Intermedio,19856,5
52,Centro,47,F,Gimnasio,6,52,Avanzado,33364,5
53,Buenos Aires,45,Otro,Natacion,5,57,Avanzado,20882,5
54,Norte,19,M,Natacion,2,31,Principiante,11312,5
55,Sur,33,M,Ciclismo,1,63,Principiante,20111,5
56,Buenos Aires,47,Otro,Natacion,4,43,Avanzado,21011,5
57,Centro,15,M,Gimnasio,4,45,Intermedio,20603,5
58,Buenos Aires,52,Otro,Futbol,1,70,Principiante,,5
59,Centro,24,Otro,Natacion,1,55,Principiante,15111,5
60,Norte,65,M,Gimnasio,6,45,Avanzado,32625,5
61,Sur,41,Otro,Running,2,83,Principiante,6949,4
62,Buenos Aires,51,F,Gimnasio,5,88,Avanzado,26585,5
63,Buenos Aires,32,Otro,Futbol,1,63,Principiante,8485,5
64,Norte,61,M,Yoga,3,70,Principiante,10860,5
65,Buenos Aires,47,F,Running,5,53,Intermedio,11303,5
66,Norte,49,F,Futbol,1,93,Principiante,12250,5
67,Norte,25,Otro,Running,5,82,Avanzado,12229,5
68,Centro,21,F,Yoga,2,72,Principiante,12494,5
69,Norte,28,M,Yoga,5,75,Intermedio,19705,5
70,Centro,47,F,Yoga,3,53,Intermedio,20581,5
71,Buenos Aires,32,F,Ciclismo,5,109,Avanzado,43232,5
72,CABA,26,Otro,Ciclismo,7,122,Avanzado,37126,5
73,CABA,13,F,Gimnasio,5,46,Intermedio,23707,5
74,CABA,43,Otro,Natacion,1,53,Principiante,13312,4
75,Sur,60,M,Yoga,7,69,Avanzado,21958,5
76,Sur,38,M,Futbol,5,88,Avanzado,20965,5
77,Norte,53,Otro,Yoga,3,68,Principiante,13845,5
78,Norte,29,Otro,Natacion,2,30,Intermedio,16084,5
79,Sur,34,Otro,Natacion,1,48,Principiante,16334,4
80,CABA,19,Otro,Natacion,5,52,Avanzado,25259,5
81,CABA,37,M,Yoga,2,72,Principiante,11999,4
82,Buenos Aires,18,F,Gimnasio,7,60,Avanzado,32266,5
83,Norte,62,F,Natacion,2,58,Intermedio,23232,5
84,Buenos Aires,18,Otro,Futbol,5,107,Intermedio,14706,5
85,Norte,24,Otro,Natacion,2,31,Principiante,16760,5
86,Centro,49,F,Natacion,2,37,Principiante,13531,4
87,Centro,41,F,Natacion,6,45,Avanzado,25557,5
88,Buenos Aires,51,M,Gimnasio,3,59,Principiante,19314,5
89,CABA,26,M,Ciclismo,4,67,Intermedio,29462,4
90,Norte,31,F,Gimnasio,1,78,Principiante,17563,5
91,Norte,41,Otro,Yoga,3,56,Principiante,10785,5
92,Sur,25,F,Ciclismo,2,119,Intermedio,26597,5
93,Buenos Aires,47,Otro,Futbol,1,87,Principiante,10304,5
94,CABA,52,F,Ciclismo,5,129,Intermedio,24446,5
95,Centro,69,M,Running,1,32,Principiante,8190,5
96,Centro,54,F,Running,2,48,Principiante,5936,5
97,CABA,65,M,Yoga,4,69,Intermedio,19091,5
98,CABA,14,M,Natacion,5,49,Intermedio,18885,5
99,CABA,43,M,Futbol,2,62,Principiante,12080,5
100,Buenos Aires,34,Otro,Natacion,3,42,Intermedio,21783,5
101,Norte,69,Otro,Natacion,7,35,Avanzado,22169,5
102,Centro,48,F,Ciclismo,5,79,Avanzado,42024,5
103,CABA,30,F,Natacion,4,45,Intermedio,19385,5
104,Norte,26,F,Gimnasio,5,81,Intermedio,25837,5
105,Buenos Aires,41,Otro,Running,2,70,Intermedio,8785,5
106,Centro,12,Otro,Futbol,2,91,Principiante,11963,4
107,Sur,18,F,Gimnasio,4,45,Intermedio,28278,5
108,Norte,25,F,Ciclismo,5,72,Intermedio,28174,5
109,CABA,41,M,Yoga,3,75,Principiante,14605,4
110,Norte,59,M,Gimnasio,3,68,Intermedio,23476,5
111,Sur,18,F,Natacion,3,54,Principiante,12660,5
112,Norte,24,F,Running,1,55,Principiante,6272,4
113,Sur,35,Otro,Yoga,2,51,Principiante,10743,4
114,Centro,42,Otro,Gimnasio,5,82,Intermedio,28342,5
115,Norte,39,M,Futbol,6,69,Avanzado,16259,5
116,Buenos Aires,60,M,Futbol,3,117,Principiante,8992,5
117,CABA,14,M,Natacion,6,53,Avanzado,24708,5
118,Norte,55,F,Ciclismo,2,132,Intermedio,35612,5
119,Sur,56,Otro,Running,6,85,Avanzado,15128,5
120,Buenos Aires,34,M,Yoga,3,70,Principiante,13861,5
121,Norte,51,Otro,Natacion,3,42,Intermedio,19147,4
122,Buenos Aires,60,Otro,Natacion,1,47,Principiante,12363,5
123,Norte,40,F,Running,2,45,Principiante,5600,5
124,CABA,36,Otro,Running,2,73,Principiante,7195,5
